Antwort ID;Freundlichkeit;Risikofreude;Vermögen;Intelligenz;Schönheit;Alter;Gruppe;Geschlecht;Haben Sie Kinder?
2;0;0;1;0;0;33;Student:in;Weiblich;Ja
3;2;4;0;1;1;25;Student:in;Weiblich;Nein
4;0;3;1;1;0;35;Angestellte:r;Männlich;Ja
6;0;1;1;1;1;42;Student:in;Männlich;Nein
7;0;0;2;0;5;20;Auszubildende:r;Divers;Nein
9;1;1;1;1;2;21;Student:in;Weiblich;Nein
12;0;0;0;0;0;20;Student:in;Weiblich;Nein
14;1;1;1;1;5;25;Angestellte:r;Männlich;Nein
15;0;1;1;1;1;69;Student:in;Männlich;Nein
19;0;0;0;0;1;22;Student:in;Weiblich;Nein
20;0;1;0;2;2;31;Selbstständig;Männlich;Ja
21;0;2;1;1;0;20;Auszubildende:r;Weiblich;Nein
22;4;1;1;1;1;22;Angestellte:r;Weiblich;Nein
23;0;2;2;1;1;24;Angestellte:r;Männlich;Ja
24;0;0;1;0;0;26;Angestellte:r;Weiblich;Nein
25;1;1;0;0;0;24;Student:in;Männlich;Nein
26;0;3;0;0;3;25;Auszubildende:r;Männlich;Ja
27;2;1;2;6;0;23;Student:in;Weiblich;Nein
28;0;1;2;0;1;61;Angestellte:r;Männlich;Ja
30;0;1;0;2;1;55;Angestellte:r;Männlich;Nein
